filename,party,type,number,year,ext,size_kb,contract_type
1 учред докум.docx,,,,,.docx,16.169921875,Другое/Other
2 учред докум.docx,,,,,.docx,16.318359375,Другое/Other
2013 год  ТОО Стронеф.doc,Стронеф,,,2013,.doc,61.0,Другое/Other
93.doc,,,,,.doc,71.0,Другое/Other
a ШКОЛУ bektyrganova.docx,,,,,.docx,17.33984375,Другое/Other
Arenda Largusaa.doc,,,,,.doc,40.0,Аренда/Lease
BS Service Aktobe.doc,,,,,.doc,52.5,Другое/Other
College.docx,,,,,.docx,16.455078125,Другое/Other
Comfort аренда помещения.doc,,Арендное соглашение,,,.doc,42.5,Аренда/Lease
Comfort арендует у СДС2012.doc,СДС,,,2012,.doc,43.5,Другое/Other
Comfort с Акбарысом.doc,Акбарыс,,,,.doc,43.0,Другое/Other
Comfort с СДСом.doc,СДС,,,,.doc,44.0,Другое/Other
Comfort.docx,,,,,.docx,15.9423828125,Другое/Other
dopik#1 БИОС.docx,БИОС,,,,.docx,19.60546875,Другое/Other
dopik#2 na dveri bektyrganova.docx,,,,,.docx,16.583984375,Другое/Other
dopik#2 БИОС.docx,БИОС,,,,.docx,20.0458984375,Другое/Other
dopik#3 na ШКОЛУ bektyrganova.docx,,,,,.docx,16.6259765625,Другое/Other
GGGGГОЛД СТЕПс   №69 ДС.doc,,,69,,.doc,43.5,Другое/Other
GGGGГОЛД СТЕПс   №69.doc,,,69,,.doc,60.0,Другое/Other
Intex.docx,,,,,.docx,12.212890625,Другое/Other
MILKER 97.doc,,,,,.doc,61.0,Другое/Other
PISMOO.docx,,Письмо,,,.docx,16.724609375,Письмо/Letter
qqq12.docx,,,,,.docx,12.9326171875,Другое/Other
А и К Евразия.doc,,,,,.doc,56.0,Другое/Other
АБК СТРОЙ забор на айсе №61.doc,,,61,,.doc,63.0,Другое/Other
Адрес.docx,,,,,.docx,18.5732421875,Другое/Other
Аекенов не распечатывали.doc,,,,,.doc,45.0,Другое/Other
Аекенов с АКБАРЫСОМ на САЯХ.doc,,,,,.doc,43.5,Другое/Other
Аекенов №25.doc,,,25,,.doc,53.5,Другое/Other
Аекенов №35 за от Нурлана.doc,,,35,,.doc,55.5,Другое/Other
аекеновдопифывк.docx,,Дополнительное соглашение,,,.docx,16.064453125,Другое/Other
Азат Энерго 13 сентября №71.doc,Азат,,71,,.doc,58.0,Другое/Other
Азат Энерго 13 сентября №72.doc,Азат,,72,,.doc,60.5,Другое/Other
Азат Энерго на КХ эльмире.doc,Азат,,,,.doc,59.0,Другое/Other
Азат Энерго новый офис.doc,Азат,,,,.doc,58.0,Другое/Other
Азат Энерго №14.doc,Азат,,14,,.doc,95.0,Другое/Other
Азат Энерго №88.doc,Азат,,88,,.doc,30.0,Другое/Other
Азат Энерго №99.doc,Азат,,99,,.doc,59.5,Другое/Other
айко доп соглашение.docx,,Дополнительное соглашение,,,.docx,15.95703125,Доп. соглашение/Amendment
айнашева 2019 школа.doc,,,,2019,.doc,64.0,Другое/Other
Айнашева на РС (БИОС).doc,БИОС,,,,.doc,71.0,Другое/Other
Айнашева на РС переделал на акбарыс.doc,,,,,.doc,69.0,Другое/Other
айнашева спорт.doc,,,,,.doc,88.5,Другое/Other
Айнашева.doc,,,,,.doc,54.5,Другое/Other
Айс 11 МИЛ.doc,,,,,.doc,68.5,Другое/Other
Айс 29 МИЛ.doc,,,,,.doc,66.5,Другое/Other
айс плюс нов.doc,,,,,.doc,92.5,Другое/Other
"Айс+ 82,5лим.doc",,,,,.doc,55.0,Другое/Other
